City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,81.64,73,20,14.97,US,1686622444
1,jamestown,42.097,-79.2353,56.79,79,100,9.22,US,1686622420
2,tura,25.5198,90.2201,79.52,87,9,5.64,IN,1686622444
3,invercargill,-46.4,168.35,52.72,83,72,4.07,NZ,1686622180
4,puerto natales,-51.7236,-72.4875,35.08,96,100,4.38,CL,1686622444
5,vernon,50.2581,-119.2691,91.92,35,33,3.44,CA,1686622444
6,talnakh,69.4865,88.3972,47.21,73,97,4.09,RU,1686622444
7,waitangi,-43.9535,-176.5597,52.83,89,94,3.0,NZ,1686622445
8,ushuaia,-54.8,-68.3,40.66,75,20,24.16,AR,1686622271
9,port-aux-francais,-49.35,70.2167,43.25,89,100,31.07,TF,1686622445
10,vuktyl,63.8567,57.3094,50.63,79,100,7.78,RU,1686622445
11,bethel,41.3712,-73.414,67.64,88,100,9.22,US,1686622445
12,magadan,59.5667,150.8,65.53,85,89,10.0,RU,1686622445
13,chinde,26.8418,88.0763,70.95,74,31,2.91,NP,1686622445
14,port elizabeth,-33.918,25.5701,55.69,65,0,8.05,ZA,1686622446
15,edinburgh of the seven seas,-37.0676,-12.3116,59.18,90,100,18.72,SH,1686622446
16,galle,6.0367,80.217,81.63,83,100,12.88,LK,1686622446
17,margaret river,-33.95,115.0667,60.39,69,100,16.51,AU,1686622446
18,enewetak,11.3474,162.3373,82.13,81,98,19.8,MH,1686622446
19,grytviken,-54.2811,-36.5092,27.3,85,94,9.04,GS,1686622446
20,bhimunipatnam,17.8833,83.4333,89.11,55,39,7.34,IN,1686622446
21,uyar,55.81,94.3153,62.06,63,17,8.57,RU,1686622447
22,blackmans bay,-43.0167,147.3167,53.73,77,100,7.65,AU,1686622447
23,yellowknife,62.456,-114.3525,46.35,67,100,7.05,CA,1686622194
24,constantia,44.1833,28.65,54.7,84,38,15.5,RO,1686622447
25,wailua homesteads,22.0669,-159.378,81.03,78,20,14.97,US,1686622447
26,vammala,61.3333,22.9,49.57,61,71,5.95,FI,1686622447
27,khorixas,-20.3667,14.9667,50.09,46,3,5.82,NA,1686622447
28,west island,-12.1568,96.8225,80.58,83,40,19.69,CC,1686622448
29,yanam,16.7333,82.2167,93.94,47,100,8.05,IN,1686622448
30,corn island,12.1694,-83.0418,84.51,80,100,15.9,NI,1686622448
31,alice springs,-23.7,133.8833,64.22,31,0,10.36,AU,1686622448
32,malanje,-9.5402,16.341,61.41,93,12,3.44,AO,1686622448
33,dauphin,51.1494,-100.0502,73.54,60,0,4.61,CA,1686622448
34,tiksi,71.6872,128.8694,35.96,96,100,6.71,RU,1686622448
35,lerwick,60.1545,-1.1494,53.6,93,100,7.05,GB,1686622448
36,anadyr,64.75,177.4833,63.1,48,0,6.71,RU,1686622449
37,thompson,55.7435,-97.8558,46.56,81,100,11.5,CA,1686622449
38,bredasdorp,-34.5322,20.0403,57.11,73,67,25.34,ZA,1686622449
39,konarka,19.9,86.1167,81.0,71,94,4.59,IN,1686622449
40,port alberni,49.2413,-124.8028,86.88,40,35,4.0,CA,1686622421
41,east london,-33.0153,27.9116,61.16,46,89,19.01,ZA,1686622277
42,argo,37.6333,22.7333,64.78,77,81,3.22,GR,1686622449
43,saint-philippe,-21.3585,55.7679,71.19,75,0,3.83,RE,1686622449
44,ancud,-41.8697,-73.8203,40.55,90,41,5.84,CL,1686622450
45,port alfred,-33.5906,26.891,52.18,76,100,3.0,ZA,1686622450
46,bilibino,68.0546,166.4372,47.8,88,100,15.88,RU,1686622450
47,albany,42.6001,-73.9662,69.33,84,100,1.99,US,1686622450
48,kourou,5.1552,-52.6478,77.05,90,77,6.38,GF,1686622450
49,atafu village,-8.5421,-172.5159,83.59,75,45,15.01,TK,1686622450
50,walvis bay,-22.9575,14.5053,55.09,87,0,8.93,NA,1686622450
51,azangaro,-14.9167,-70.2167,40.96,55,51,2.75,PE,1686622451
52,adamstown,-25.066,-130.1015,68.74,64,28,7.72,PN,1686622451
53,whitehorse,60.7161,-135.0538,62.31,21,100,11.99,CA,1686622204
54,smithers,54.7804,-127.1743,73.72,31,40,10.36,CA,1686622451
55,richards bay,-28.783,32.0377,61.14,89,2,4.81,ZA,1686622401
56,isabela,6.7085,121.9711,87.89,60,57,6.31,PH,1686622377
57,kavaratti,10.5669,72.642,85.12,75,100,21.27,IN,1686622451
58,st. john's,47.5649,-52.7093,45.79,96,100,13.8,CA,1686622200
59,kantabanji,20.4833,82.9167,92.75,37,17,9.17,IN,1686622452
60,college,64.8569,-147.8028,63.59,44,75,17.27,US,1686622452
61,nemuro,43.3236,145.575,53.69,97,100,10.31,JP,1686622452
62,punta arenas,-53.15,-70.9167,42.91,70,20,13.8,CL,1686622190
63,cabo san lucas,22.8909,-109.9124,86.31,39,0,5.75,MX,1686622297
64,kodiak,57.79,-152.4072,56.71,47,20,13.8,US,1686622452
65,rio grande,-32.035,-52.0986,39.31,65,6,8.68,BR,1686622438
66,nagqu,31.5,92.0,46.62,60,100,8.43,CN,1686622453
67,papatowai,-46.5619,169.4708,52.59,79,28,5.77,NZ,1686622453
68,emerald,-23.5333,148.1667,76.33,52,3,3.47,AU,1686622224
69,fayzabad,37.1166,70.58,76.68,43,18,2.13,AF,1686622453
70,severo-yeniseyskiy,60.3725,93.0408,48.81,74,98,5.79,RU,1686622453
71,mar del plata,-38.0023,-57.5575,45.09,90,40,3.44,AR,1686622453
72,sao joao da barra,-21.6403,-41.0511,73.06,87,89,6.42,BR,1686622244
73,ta'if,21.2703,40.4158,70.81,28,5,9.26,SA,1686622453
74,puerto lleras,3.0223,-73.4044,72.18,99,96,2.62,CO,1686622454
75,hamilton,39.1834,-84.5333,59.77,71,20,4.61,US,1686622454
76,brisas de zicatela,15.8369,-97.0419,86.52,66,40,3.44,MX,1686622454
77,hermanus,-34.4187,19.2345,60.8,86,100,29.39,ZA,1686622454
78,saacow,1.6279,42.4407,72.54,88,80,8.75,SO,1686622454
79,nova sintra,14.8667,-24.7167,70.09,85,100,21.09,CV,1686622454
80,margate,51.3813,1.3862,59.7,83,1,4.0,GB,1686622456
81,red chute,32.556,-93.6132,77.99,74,0,3.44,US,1686622456
82,ribeira grande,38.5167,-28.7,66.78,97,8,3.0,PT,1686622456
83,tofol,5.3248,163.0078,85.78,70,100,3.44,FM,1686622277
84,east ballina,-28.8667,153.5833,69.8,64,3,7.67,AU,1686622236
85,tsiombe,-25.3,45.4833,62.76,96,13,6.11,MG,1686622457
86,la ronge,55.1001,-105.2842,64.65,55,100,5.75,CA,1686622457
87,port moresby,-9.4431,147.1797,81.32,79,40,5.61,PG,1686622457
88,hawaiian paradise park,19.5933,-154.9731,83.71,71,0,1.01,US,1686622197
89,rebrikha,53.0733,82.3408,60.76,75,62,6.78,RU,1686622457
90,abepura,-2.6333,140.5833,85.01,70,40,5.75,ID,1686622458
91,mao,39.8885,4.2658,70.36,94,20,3.44,ES,1686622167
92,watford city,47.8022,-103.2832,75.15,60,0,3.44,US,1686622458
93,coquimbo,-29.9533,-71.3436,51.53,81,100,3.44,CL,1686622242
94,karkala,13.2,74.9833,78.62,81,32,3.47,IN,1686622458
95,vila velha,-20.3297,-40.2925,75.15,90,20,9.22,BR,1686622458
96,elbistan,38.2059,37.1983,59.27,77,0,1.05,TR,1686622458
97,vilyuchinsk,52.9306,158.4028,75.47,46,0,3.49,RU,1686622458
98,hastings,50.8552,0.5729,63.09,28,13,11.14,GB,1686622459
99,saudarkrokur,65.7461,-19.6394,48.07,81,9,6.73,IS,1686622459
100,ketchikan,55.3422,-131.6461,63.07,55,0,9.22,US,1686622459
101,las heras,-46.5419,-68.9359,32.92,71,13,9.93,AR,1686622459
102,paso de los toros,-32.8167,-56.5167,39.34,79,0,6.76,UY,1686622247
103,bure,10.7,37.0667,59.27,86,100,2.3,ET,1686622459
104,ylitornio,66.3089,23.6773,57.61,60,8,8.75,FI,1686622459
105,sambava,-14.2667,50.1667,69.69,86,1,5.61,MG,1686622460
106,sinop,41.7711,34.8709,58.5,93,88,1.92,TR,1686622420
107,north bay,46.3168,-79.4663,65.1,93,100,3.0,CA,1686622460
108,terenozek,45.05,64.9833,76.75,17,54,17.87,KZ,1686622460
109,newman,37.3138,-121.0208,82.74,54,48,5.01,US,1686622432
110,yangambi,0.8102,24.4336,69.58,98,91,1.59,CD,1686622460
111,iqaluit,63.7506,-68.5145,33.53,69,75,10.36,CA,1686622461
112,tarnogskiy gorodok,60.4997,43.5761,51.67,70,65,4.74,RU,1686622461
113,greenville,35.6127,-77.3663,73.56,98,100,3.44,US,1686622361
114,leitchfield,37.48,-86.2939,58.17,84,5,5.61,US,1686622461
115,keflavik,64.0049,-22.5624,46.87,81,0,2.3,IS,1686622461
116,puerto ayora,-0.7393,-90.3518,79.56,91,73,7.0,EC,1686622461
117,minas de marcona,-15.2119,-75.1103,54.18,85,83,18.7,PE,1686622461
118,shimoda,34.6667,138.95,79.11,85,95,6.51,JP,1686622461
119,nadym,65.5333,72.5167,39.42,57,100,15.75,RU,1686622462
120,farrokh shahr,32.2717,50.9801,47.46,57,0,2.3,IR,1686622462
121,khash,28.2211,61.2158,80.1,17,6,4.65,IR,1686622462
122,san antonio de pale,-1.4014,5.6325,75.76,89,99,7.61,GQ,1686622462
123,laguna,38.421,-121.4238,78.12,56,100,11.5,US,1686622462
124,atar,20.5169,-13.0499,85.51,21,96,8.77,MR,1686622462
125,baardheere,2.3446,42.2764,73.42,83,94,10.89,SO,1686622462
126,alofi,-19.0595,-169.9187,73.29,94,100,13.8,NU,1686622463
127,pathein,16.7833,94.7333,76.42,97,100,12.37,MM,1686622463
128,dakhla,23.6848,-15.958,70.29,90,10,15.9,EH,1686622463
129,jogeva,58.7467,26.3939,46.89,63,7,0.25,EE,1686622463
130,sitka,57.0531,-135.33,53.49,62,75,13.8,US,1686622171
131,bogotol,56.2078,89.5342,54.99,73,100,7.56,RU,1686622463
132,port saint john's,-31.6229,29.5448,58.35,71,82,4.97,ZA,1686622463
133,natal,-5.795,-35.2094,74.05,94,40,3.44,BR,1686622328
134,itoman,26.1247,127.6694,83.17,100,75,11.5,JP,1686622464
135,okhotsk,59.3833,143.3,47.3,85,87,11.97,RU,1686622464
136,n'zeto,-7.2312,12.8666,70.97,92,99,6.06,AO,1686622464
137,gwadar,25.1216,62.3254,85.5,71,100,2.04,PK,1686622464
138,skvyra,49.7318,29.6657,50.9,92,100,8.46,UA,1686622464
139,fuglafjordur,62.244,-6.814,43.27,74,100,1.03,FO,1686622464
140,chui,-33.6971,-53.4616,47.34,75,94,6.69,UY,1686622465
141,qarauyl,48.9451,79.255,67.91,34,0,12.21,KZ,1686622465
142,avarua,-21.2078,-159.775,78.85,83,100,17.27,CK,1686622465
143,mahina,-17.5065,-149.489,83.97,61,40,9.22,PF,1686622465
144,kruisfontein,-34.0033,24.7314,49.89,69,86,10.78,ZA,1686622465
145,bichura,50.5881,107.6022,73.56,54,100,3.71,RU,1686622343
146,ikirun,7.9167,4.6667,70.7,95,98,3.2,NG,1686622465
147,kenora,49.8167,-94.4337,72.57,49,20,4.61,CA,1686622466
148,tosontsengel,48.7567,98.2839,57.02,72,100,17.0,MN,1686622466
149,kargopol',61.5071,38.9456,50.99,68,100,4.88,RU,1686622466
150,teaca,46.9167,24.5167,54.05,87,100,3.04,RO,1686622466
151,crane,31.3974,-102.3501,92.46,12,1,10.02,US,1686622466
152,esquel,-42.9,-71.3167,29.89,80,12,3.8,AR,1686622246
153,puerto baquerizo moreno,-0.9,-89.6,78.73,82,24,11.92,EC,1686622466
154,tibati,6.4667,12.6333,65.91,98,91,3.0,CM,1686622466
155,port lincoln,-34.7333,135.8667,57.15,57,92,23.24,AU,1686622467
156,bonthe,7.5264,-12.505,76.6,88,100,5.5,SL,1686622467
157,fale old settlement,-9.3852,-171.2468,83.21,77,12,14.61,TK,1686622467
158,weno,7.4515,151.8468,89.55,70,75,9.22,FM,1686622467
159,flin flon,54.7682,-101.865,74.01,29,2,9.37,CA,1686622467
160,spittal an der drau,46.8,13.5,57.09,96,96,1.68,AT,1686622467
161,vieux-habitants,16.0589,-61.7659,78.37,79,19,12.46,GP,1686622467
162,fundacion,10.5207,-74.185,78.62,85,64,3.6,CO,1686622468
163,saipan,15.1355,145.701,88.5,100,40,12.66,MP,1686622468
164,longyearbyen,78.2186,15.6401,37.24,75,75,11.5,SJ,1686622468
165,freetown,8.484,-13.2299,76.84,87,99,4.76,SL,1686622373
166,high rock,26.6208,-78.2833,78.82,76,94,11.61,BS,1686622468
167,tyler,32.3513,-95.3011,82.09,69,20,6.91,US,1686622412
168,masumbwe,-3.6333,32.1833,62.83,64,34,1.57,TZ,1686622468
169,pitimbu,-7.4706,-34.8086,75.79,83,27,13.85,BR,1686622468
170,chonchi,-42.6128,-73.8092,38.41,95,18,1.9,CL,1686622469
171,northam,51.0333,-4.2167,59.67,96,22,0.43,GB,1686622469
172,amga,60.8953,131.9608,38.75,96,100,4.12,RU,1686622469
173,huinca renanco,-34.8404,-64.3758,39.22,50,0,3.89,AR,1686622469
174,acworth,34.0659,-84.6769,71.42,82,0,0.0,US,1686622445
175,san sebastian de la gomera,28.0916,-17.1133,71.96,83,0,2.3,ES,1686622469
176,yuzhno-kurilsk,44.0306,145.8556,52.97,97,100,7.61,RU,1686622469
177,ibaiti,-23.8486,-50.1878,60.67,99,100,3.87,BR,1686622174
178,olonkinbyen,70.9221,-8.7187,35.69,87,100,19.82,SJ,1686622179
179,el aouinet,35.8669,7.8867,66.33,77,100,25.1,DZ,1686622470
180,kapuskasing,49.4169,-82.4331,62.6,82,100,4.61,CA,1686622470
181,gizo,-8.103,156.8419,83.66,76,12,8.34,SB,1686622470
182,ironwood,46.4547,-90.171,50.56,100,100,3.44,US,1686622470
183,shigony,53.3875,48.6777,51.35,66,100,17.96,RU,1686622470
184,molina,-35.1167,-71.2833,33.53,93,100,6.91,CL,1686622470
185,fengkou,30.0833,113.2667,80.11,65,100,6.87,CN,1686622471
186,mejit,10.2753,170.8646,81.95,80,79,19.57,MH,1686622471
187,kokuy,52.2037,117.5529,69.35,58,98,8.46,RU,1686622471
188,udachny,66.4167,112.4,61.45,33,19,15.7,RU,1686622471
189,port mathurin,-19.6833,63.4167,76.55,71,4,15.08,MU,1686622471
190,mora,11.0461,14.1401,81.72,60,100,2.57,CM,1686622471
191,yunak,38.8142,31.7322,56.26,85,100,4.85,TR,1686622471
192,saquarema,-22.92,-42.5103,70.34,93,1,4.65,BR,1686622203
193,isafjordur,66.0755,-23.124,45.93,81,52,7.05,IS,1686622472
194,badger,64.8,-147.5333,63.52,46,100,17.27,US,1686622472
195,holualoa,19.6228,-155.9522,78.78,82,40,10.36,US,1686622472
196,floro,61.5996,5.0328,57.16,67,100,4.61,NO,1686622472
197,rikaze,29.25,88.8833,58.1,43,47,3.74,CN,1686622472
198,aasiaat,68.7098,-52.8699,30.52,84,42,9.64,GL,1686622472
199,cestos city,5.46,-9.5828,78.08,80,58,8.84,LR,1686622472
200,tolanaro,-25.0319,46.9987,64.53,90,3,4.54,MG,1686622473
201,sisimiut,66.9395,-53.6735,31.15,86,21,6.82,GL,1686622217
202,shingu,33.7333,135.9833,83.07,60,100,2.64,JP,1686622473
203,bereznik,62.8551,42.7072,58.35,62,96,7.9,RU,1686622473
204,belabo,4.9333,13.3,67.35,100,97,1.81,CM,1686622473
205,chibougamau,49.9168,-74.3659,61.56,59,100,4.76,CA,1686622239
206,bikenibeu village,1.3673,173.1241,87.76,74,40,4.61,KI,1686622473
207,afaahiti,-17.75,-149.2833,82.27,69,23,18.97,PF,1686622473
208,kalmunai,7.4167,81.8167,82.13,74,94,4.43,LK,1686622474
209,fort st. john,56.2499,-120.8529,73.29,40,75,4.61,CA,1686622388
210,olyokminsk,60.3736,120.4264,56.98,31,6,8.28,RU,1686622474
211,massakory,12.996,15.7293,83.57,55,100,8.34,TD,1686622474
212,san patricio,28.017,-97.5169,83.84,83,79,14.54,US,1686622474
213,ormara,25.2088,64.6357,87.78,64,54,3.94,PK,1686622474
214,ilulissat,69.2167,-51.1,35.62,75,75,0.0,GL,1686622474
215,nogliki,51.8333,143.1667,43.2,96,100,6.2,RU,1686622475
216,camocim,-2.9022,-40.8411,77.85,83,2,12.33,BR,1686622475
217,mangrol,21.1167,70.1167,84.36,83,100,31.14,IN,1686622475
218,ust-nera,64.5667,143.2,45.45,90,100,9.93,RU,1686622475
219,pisco,-13.7,-76.2167,68.05,77,2,6.91,PE,1686622475
220,marquette,46.5333,-87.6335,48.25,96,99,5.01,US,1686622475
221,lebu,-37.6167,-73.65,46.15,74,0,14.07,CL,1686622200
222,ciudad lazaro cardenas,17.9583,-102.2,81.43,75,1,7.83,MX,1686622475
223,vorgashor,67.5833,63.95,44.8,57,100,11.18,RU,1686622476
224,kavieng,-2.5744,150.7967,84.67,74,66,10.76,PG,1686622476
225,byalynichy,53.9983,29.7126,48.27,77,100,7.94,BY,1686622229
226,naxos,37.1056,25.3764,73.31,77,2,1.99,GR,1686622476
227,arraial do cabo,-22.9661,-42.0278,71.67,91,4,7.56,BR,1686622476
228,sretensk,52.2453,117.7093,68.95,56,99,7.25,RU,1686622476
229,bardai,11.65,7.2333,72.5,85,53,7.07,NG,1686622476
230,tazovsky,67.4667,78.7,33.46,93,100,18.16,RU,1686622476
231,kingston,17.997,-76.7936,83.35,76,20,14.97,JM,1686622435
232,tobruk,32.0836,23.9764,69.42,92,0,9.66,LY,1686622477
233,primorsko-akhtarsk,46.0497,38.1747,64.04,80,100,9.15,RU,1686622477
234,ta`u,-14.2336,-169.5144,81.68,74,43,16.71,AS,1686622477
235,georgetown,5.4112,100.3354,87.73,66,20,9.22,MY,1686622217
236,bubaque,11.2833,-15.8333,79.2,85,100,10.67,GW,1686622477
237,shitanjing,39.2342,106.3439,72.97,17,0,4.92,CN,1686622477
238,mandideep,23.0817,77.5333,85.08,49,12,14.05,IN,1686622198
239,susuman,62.7833,148.1667,58.06,73,100,8.12,RU,1686622478
240,halifax,44.6453,-63.5724,67.89,67,20,8.05,CA,1686622386
241,pacific grove,36.6177,-121.9166,62.42,82,40,11.5,US,1686622247
242,isnos,1.9356,-76.2406,58.23,98,93,3.0,CO,1686622478
243,rongelap,11.1635,166.8941,82.2,80,99,17.72,MH,1686622478
244,yerofey pavlovich,53.9667,121.9667,48.29,93,100,4.79,RU,1686622478
245,midvagur,62.0511,-7.1939,43.63,87,100,1.14,FO,1686622479
246,leh,34.1667,77.5833,51.96,52,58,2.48,IN,1686622479
247,carnarvon,-24.8667,113.6333,63.37,36,0,16.51,AU,1686622479
248,klyuchi,52.2667,79.1667,63.75,64,16,9.28,RU,1686622479
249,gewane,10.1664,40.6453,84.69,46,100,4.09,ET,1686622479
250,lufilufi,-13.8745,-171.5986,87.58,79,36,15.37,WS,1686622479
251,abou el hassan,36.4166,1.1962,67.44,68,86,8.39,DZ,1686622479
252,santa elena de uairen,4.6167,-61.1333,67.15,93,76,2.44,VE,1686622480
253,tarko-sale,64.9225,77.785,42.85,46,8,22.82,RU,1686622480
254,kill devil hills,36.0307,-75.676,71.98,90,40,14.97,US,1686622480
255,gazli,40.1333,63.45,84.27,14,3,5.68,UZ,1686622480
256,emden,53.3667,7.2167,62.6,70,10,8.99,DE,1686622360
257,kurchatov,51.6601,35.6521,54.01,82,86,10.42,RU,1686622480
258,puri,19.8,85.85,81.12,70,96,4.12,IN,1686622480
259,twardogora,51.3649,17.4688,52.03,74,12,6.46,PL,1686622481
260,bhalki,18.0333,77.2167,81.61,57,7,15.48,IN,1686622481
261,mariental,-24.6333,17.9667,44.74,56,0,1.01,NA,1686622329
262,kadugli,11.0167,29.7167,82.54,59,72,2.59,SD,1686622481
263,codrington,-38.2667,141.9667,54.99,75,100,15.48,AU,1686622481
264,takoradi,4.8845,-1.7554,76.3,72,53,6.44,GH,1686622481
265,sona,45.4388,10.8255,69.24,77,75,11.5,IT,1686622481
266,dompu,-8.5356,118.4622,80.69,67,92,6.93,ID,1686622481
267,tual,-5.6667,132.75,80.31,82,100,20.69,ID,1686622483
268,hilo,19.7297,-155.09,83.93,64,0,7.0,US,1686622483
269,richland,40.7834,-82.5499,57.34,77,75,8.05,US,1686622483
270,santa cruz,-17.8,-63.1667,56.66,54,100,20.71,BO,1686622414
271,stanley,54.868,-1.6985,51.89,93,75,0.0,GB,1686622210
272,ataq,14.5377,46.8319,81.52,36,91,5.14,YE,1686622483
273,praia,14.9215,-23.5087,77.54,73,0,11.5,CV,1686622484
274,thayetmyo,19.3167,95.1833,82.99,71,94,9.15,MM,1686622484
275,sandnessjoen,66.0217,12.6316,48.72,98,75,6.91,NO,1686622484
276,papao,-17.75,-149.55,83.88,69,5,20.18,PF,1686622484
277,tazacorte,28.629,-17.9293,70.77,84,100,6.91,ES,1686622484
278,buston,40.2342,69.6948,73.58,68,20,17.9,TJ,1686622484
